entity,variable,date,value,unit,measurementMethod,observationPeriod
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-11-30,499991035,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2019-12-31,47386992280.3,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-01-31,4500000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-02-29,2187000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-03-31,284897998173,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-04-30,1775000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-05-31,1325000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-06-30,950000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-07-31,150000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-08-31,1000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-09-30,850000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-10-31,1000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-11-30,6000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2020-12-31,9651000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-01-31,5350000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-02-28,2700000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-03-31,125307000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-04-30,179733997732,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-05-31,458647913437.81,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-06-30,855089000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-07-31,885644019706,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-08-31,1049615998163.2,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-09-30,1438935999744,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-10-31,1345696004710.25,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-11-30,1397030998012,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2021-12-31,1739662008874.45,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-01-31,1474650006059,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-02-28,1445701997760,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-03-31,1658069924400,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-04-30,1670302009315,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-05-31,1753187002173.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-06-30,2062892998423,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-07-31,2098154992356,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-08-31,2069424996500,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-09-30,2220585013951.8,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-10-31,2144952996766,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-11-30,2003487986560,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2022-12-31,2339615942898.8,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-01-31,1988961989024,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-02-28,2097334989360,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-03-31,2230840919088,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-04-30,2213877879608.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-05-31,2043957947679.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-06-30,1905993899098.5,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-07-31,1753123049135.2,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-08-31,1565150980858.31,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-09-30,1483948931218.96,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-10-31,1084121994884.8,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-11-30,849271977660.86,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2023-12-31,968681908611.94,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-01-31,583438979054.81,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-02-29,464923973501.64,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-03-31,537772501181.65,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-04-30,508708965814.57,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-05-31,415800895391.15,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-06-30,618254901336.79,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-07-31,382464935174.93,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-08-31,391472049677.4,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-09-30,429783985000.83,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-10-31,173622973559.39,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-11-30,169732934394.76,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2024-12-31,382434000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
